,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,3.0,44.0,35306.17,16.15713,169.9378,1767.444722,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,2.0,41.0,95657.24,56.97688,192.4705,5154.285324,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2,0.0,82.0,14185.42,1.781895205,149.977753,292.4731737,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,4.0,70.0,14219.58,17.37839741,182.460772,1815.9129,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4,4.0,72.0,19685.04,13.43811,174.9768,1965.462483,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,1.0,44.0,37078.58,62.1578,149.9621,5467.127682,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6,0.0,37.0,17844.86,65.21612,149.9447,6110.185041,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,3.0,44.0,6315.99,6.429025787,167.456419,800.3296612,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,1.0,29.0,40364.46,62.47012,172.4579,5588.834646,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9,1.0,73.0,10331.34,6.386027,139.9875,1039.187211,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10,1.0,32.0,22533.05,4.973046104,245.145743,1204.479468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,6.0,48.0,50305.65,49.35209,139.983,4827.605046,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
12,2.0,29.0,49844.68,4.189207,137.4616,722.927922,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
13,2.0,27.0,9373.48,62.28135,127.4738,5910.676012,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
14,0.0,36.0,50827.4,7.863565,127.5112,837.2841389,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
15,1.0,30.0,90857.99,66.20027,140.0049,5680.91898,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,4.0,26.0,76411.65,5.886238,212.6695,1391.330245,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
17,0.0,63.0,26828.46,51.05765,139.9678,4430.640106,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
18,0.0,62.0,10072.69,22.73656,182.497,2227.799509,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
19,1.0,55.0,16090.91,2.255314,162.4526,520.7155239,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20,2.0,82.0,68122.23,18.9537053,169.974105,1746.405243,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
21,1.0,82.0,124590.0,52.25168,159.9349,4539.697433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
22,1.0,29.0,42326.58,25.88644227,164.988941,2576.783187,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,2.0,63.0,15263.96,71.74549,147.4783,6122.640412,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
